id;main_word;s1;s2;s3;s4;s5
713;EKSHIBICJONIZM;Rozbierac Sie;Obnażac Sie;Płaszcz;Pokazywac;Nagosc
714;PROPORCJA;Zachowac;Liczba;Boska;Układac;Matematyka
715;PASEK DO SPODNI;Szlufka;Dziurki;Zapinac;Skóra;Sprzaczka
716;GRZEBIEN;Włosy;Głowa;Szczotka;Czesac;Fryzura
717;KOPUŁA;Kulista;Dach;Sufit;Okragłe;Sklepienie
718;PORNOGRAFIA;Nagosc;Dorosły;Video;Seks;Erotyka
719;SZAMAN;Kapłan;Magia;Indianie;Uzdrowiciel;Czarownik
720;EWAKUACJA;Schron;Wojsko;Ucieczka;Niebezpieczenstwo;Powódz
721;DZIEŁA SZTUKI;Wystawa;Obrazy;Antyki;Wernisaż;Muzeum
722;REPERTUAR;Grac;Program;Kino;Przedstawienie;Teatr
723;TOURNEE;Zespół;Artysta;Trasa;Koncert;Wystepy
724;FLAMASTER;Mazak;Pisak;Marker;Zakreslacz;Kredka
725;STUDIA ZAOCZNE;Uniwersytet;Weekend;Uczelnia;Wieczorowe;Dzienne
726;WALEC DROGOWY;Pojazd;Ulica;Maszyna;Budowa;Asfalt
727;KALKULATOR;Liczenie;Elektronika;Komputer;Dodawanie;Matematyka
728;CYNAMON;Smak;Bruno Shulz;Kuchnia;Przyprawa;Jabłka
729;KLAUZULA POUFNOSCI;Podpisywanie;Dokument;Nda;Tajemnica Firmowa;Zgoda
730;PRETEKST;Powody;Wykret;Wymówka;Udawac;Pozór
731;SZARA EMINENCJA;Zausznik;Kardynał Richelieu;Władza;Dwór;Wpływ
732;LINKA HOLOWNICZA;Awaria;Samochód;Hak;Ciagnac;Autoserwis
733;KOLORYSTYKA;Ton;Odcien;Barwa;Malowac;Gama
734;PAGAJ;Kajak;Kanoe;Pływac;Łódka;Wiosło
735;UNIA EUROPEJSKA;Panstwa;Wspólnota;Organizacja;Polska;Bruksela
736;WIEŻA MARIACKA;Kosciół;Wit Stwosz;Hejnał;Kraków;Trebacz
737;DERMATOLOG;Lekarz;Tradzik;Wysypka;Skóra;Pryszcze
738;HANS KLOSS;Stawka;Wojna Swiatowa;Brunner;Oficer;Mikulski
739;LIZAK;Owocowy;Na Patyku;Dzieci;Chupa Chups;Słodki
740;PROSTOWNICA;Włosy;Fryzjer;Lokówka;Suszarka;żelazko
741;CISNIENIOMIERZ;Krew;Barometr;Tetno;Mierzyc;Reka
742;HEMOGLOBINA;Tlen;Czasteczka;Anemia;żelazo;Krew
743;ODLUDEK;Nietowarzyski;Ludzie;Samotnik;Pustelnik;Stronic
744;PARANOJA;Wydawac Sie;Urojenia;Obłed;Choroba Psychiczna;Lek
745;KOMORNIK;Zaległosci;Zabierac;Andrzej Chyra;Opłaty;Długi
746;LEGGINSY;Spodnie;Getry;Obcisłe;Aerobik;Rajstopy
747;MAKIAWELICZNY;Podstep;Cynizm;Ksiaże;Polityk;Bezwzgledny
748;SIKORKA;Karmnik;Ptak;Zima;Bogatka;Słoninka
749;KAWALKADA;Orszak;Grupa;Oddział;Kon;Jechac
750;DZIAŁKA;Grill;Ziemia;Rolna;Budowlana;Wypoczynek
751;INTROWERTYZM;Osobowosc;Mówic;Wnetrze;Wewnatrz;Ekstrawertyk
752;SKORUMPOWANY;Urzednik;Pieniadze;Przekupic;Łapówka;Polityk
753;MAKABRYCZNY;Straszny;Groza;Krew;Katastrofa;Horror
754;EURO;Unia Europejska;2012;Pieniadz;Waluta;Piłka Nożna
755;REMONT;Mieszkanie;Robotnicy;Malowanie;Ekipa;Odnowic
756;SZALIK;Zima;Czapka;Szyja;Owijac;Kibic
757;SPICHLERZ;Ziarno;Budynek;Elewator;Przechowywac;Zboże
758;DEPRESJA;żuławy Wislane;Załamanie;Smutek;Poziom Morza;Choroba Psychiczna
759;ERKA;Pogotowie;Karetka;Samochód;Sygnał;Ambulans
760;PISMO;Klinowe;Urzad;Charakter;Alfabet;Litery
761;ALFABET MORSE'A;S O S;Znak;Sygnał;Kod;Krótki
762;ANTAGONIZM;Opozycja;Przeciwnik;Niezgoda;Konflikt;Wróg
763;PRZEPRAWA PROMOWA;Statek;Szwecja;Płynac;Brzeg;Rzeka
764;EKSHUMACJA;Trumna;Trup;Ciała;Sekcja Zwłok;Nauka
765;SPALONY;Mecz;Ofsajd;Napastnik;Obronca;Sedzia Liniowy
766;EMERYT;Zus;Wiek;Rencista;Praca;Starosc
767;SHREK;Fiona;Film Animowany;Bajka;Zielony Ogr;Osiołek
768;FRYTKA;Smażyc;Chipsy;Ziemniak;Ketchup;Karbowana
769;MARUDZIC;Narzekac;Niezadowolony;Muchy W Nosie;Zrzedzic;Grymasic
770;SYNTEZA;Połaczenie;Esencja;Sedno;Podsumowanie;Analiza
771;KLUCZ WIOLINOWY;Muzyka;Znak;Zapis;Pieciolinia;Nuty
772;KLEPTOMAN;Złodziej;Choroba Psychiczna;Sklep;Krasc;Potrzeba
773;MAZGAJ;Beksa;Łzy;Dziecko;Płaksa;Ryczec
774;GPS;Pozycja;Satelita;Lokalizacja;Nawigacja;Mapa
775;BIAŁY KRUK;Ptak;Okaz;Rzadkosc;Czarny;Unikat
776;"DÉJ&AGRAVE; VU";Uczucie;Matrix;Przeszłosc;Wydawac Sie;Wspomnienie
777;KWESTIONOWAC;Prawda;Negowac;Zaprzeczac;Podważac;Watpliwosc
778;BURSZTYN;Jantar;Biżuteria;żywica;Kamien;Morze
779;SOJUSZ;Nato;Pakt;Zgoda;Porozumienie;Wojskowy
780;HYDROMASAŻ;Relaks;Basen;Wanna;Bicze Wodne;Jacuzzi
781;FRAPUJACY;Nurtujacy;Zastanawiajacy;Interesujacy;Ciekawy;Intrygujacy
782;IGLOO;Eskimos;Dom;Snieg;Zima;Lód
783;OGŁOSZENIE;Kontakt;Anonse;Giełda;Sprzedam;Kupie
784;MOKRADŁO;Moczary;Woda;Mgła;Błoto;Bagno
785;TRAGEDIA SZEKSPIROWSKA;Dramat;Romeo I Julia;Gatunek Literacki;Teatr;Hamlet
786;KAKAO;Czekolada;Mleko;Napój;Ciasto;Brazowy
787;SEDZIWY;Podeszły;Stary;Babcia;Wiek;Dziadek
788;WODA OLIGOCENSKA;Zródło;Studnia;Ziemia;H 2 O;Woda Artezyjska
789;FENOMEN;Zjawisko;Ewenement;Wyjatkowy;Cud;Niezwykły
790;WALUTA;Euro;Wymienic;Dolar;Kantor;Pieniadz
791;MUMINKI;Bajka;Włóczykij;Tove Jansson;Migotka;Dobranocka
792;EGZALTACJA;Ekscytacja;Fascynacja;Podniecenie;Emocje;Opanowanie
793;KONIUGACJA;Odmiana;Koncówka;Deklinacja;Czasownik;Gramatyka
794;INNOWACJA;Produktowa;Technologiczna;Nowosc;Projekt;Wprowadzac
795;KALETNIK;Rzemieslnik;Szyc;Pasek;Torba;Skóra
796;ZAMIŁOWANIE;Lubic;Pasja;Hobby;Kochac;Zainteresowania
797;BRZYTWA;Maszynka;Ostry;Tonac;Golic Sie;Zarost
798;ODTWARZACZ MP4;Mp3;Muzyka;Video;Słuchawki;Przenosny
799;LITERÓWKA;Bład;Pomyłka;Klawiatura;Pisownia;Znak
800;ROZMOWA KWALIFIKACYJNA;Rekrutacja;Zatrudnienie;Praca;Cv;Spotkanie
801;GŁOSNIKI;Komputer;Kino Domowe;Dzwiek;Muzyka;Stereo
802;INSCENIZACJA;Wystawiac;Przedstawienie;Sztuka;Scenariusz;Teatr
803;DEGENERAT;Zmarnowac;Zniszczyc;Norma;Stoczyc;Zwyrodniały
804;PIGMEJE;Afryka;Plemiona;Czarnoskóry;Murzyn;Niski
805;UROBEK;Górnik;Skała;Kopac;Wegiel;Dzien
806;OSA;Pszczoła;Paski;Pieczenie;żadło;Owad
807;KOMINIARZ;Czyscic;Dach;Guzik;Szczescie;Czarny
808;IMBRYK;Czajnik;Dzbanek;Parzyc;Herbata;Filiżanka
809;LALKA BARBIE;Dziewczynka;Dzieci;Ken;Ubranka;Zabawka
810;SZKOŁA PRZETRWANIA;Survival;Selekcja;Wojsko;Wyprawa;Twardziele
811;MAMONA;Republika;Kasa;Bogactwo;Forsa;Pieniadz
812;RELIKT PRZESZŁOSCI;Pozostałosc;Historia;Zabytek;Skamieniałosc;Zaszłosc
813;FAMILIADA;Pytania;Karol Strasburger;Teleturniej;Rodziny;Ankieta
814;IMIENNIK;Taki Sam;Identyczny;Nazwisko;Nazywac Sie;Dzien
815;CZASZKA;Mózg;Szkielet;Głowa;Kosc;Hamlet
816;ORIGAMI;Składac;Papier;Sztuka;Japonia;żuraw
817;KATATONIK;Schizofrenia;Psychiatria;Stupor;Choroba;Kontakt
818;KAMERA INTERNETOWA;Skype;Przekaz Obrazu;Videokonferencja;Wizja;Komputer
819;ESKALACJA;Nateżenie;Narastanie;Konflikt;Problem;Zwiekszanie
820;CHOCHOŁ;Róża;Słoma;Owijac;Zima;Wesele
821;REBELIA;Zamieszki;Insurekcja;Powstanie;Bunt;Rewolucja
822;ZABOBON;Ciemnota;Przesad;Przekonanie;Nieszczescie;Wierzyc
823;PARAGRAF;Ustawa;Ustep;Prawo;Przewinienie;Akt Prawny
824;OSCIEŻNICA;Okno;Zawiasy;Oprawa;Futryna;Drzwi
825;ERGONOMIA;Dyscyplina Naukowa;Wygoda;Dostosowac;Zaprojektowac;Optymalny
826;KOMTUR;Wielki Mistrz;Krzyżacy;Zakon Rycerski;Zakon Szpitala Najswietszej Marii Panny;Zwierzchnik
827;PANORAMA;Racławicka;Tvp2;Widok;Wiadomosci;Szeroki
828;ANTOLOGIA;Ksiażka;Autor;Wybór;Zestawienie;Zbiór
829;SEGREGATOR;Dokument;Wpinac;Koszulki;Biuro;Porzadkowac
830;MEZALIANS;Małżenstwo;Maż;żenic Sie;Stan;Nieodpowiednie
831;LOGOPEDA;Wada;Seplenienie;Jezyk;Uczyc;Wymowa
832;FINEZJA;Wyrafinowanie;Delikatnosc;Precyzja;Subtelnosc;Lekkosc
833;ESKAPIZM;Religia;Ucieczka;Rzeczywistosc;Oderwanie;Wycofanie
834;LAKTATOR;Odciagac;Pokarm;Matka;Piersi;Mleko
835;TROLEJBUS;Komunikacja;Gdynia;Transport;Tramwaj;Prad
836;SAKWA ROWEROWA;Wyprawa;Bagażnik;Jezdzic;Kosz;Torba
837;ANARCHIA;Władza;Utopia;Rzadzic;Punk;Wolnosc
838;SANDAŁY;Klapki;Lato;Buty;Stopa;Rzemien
839;WIERCIPIETA;Adhd;Nadpobudliwy;Usiedziec;Krecic Sie;Miejsce
840;ITAKA;Odyseusz;Grecja;Wyspa;Homer;Biuro Podróży
841;SYGNALIZACJA SWIETLNA;Swiatła;żółte;Skrzyżowanie;Czerwone;Przejscie
842;ZŁO;Demon;Wujek;Przemoc;Dobro;Kradzież
843;SECESJA;Architektura;Modernizm;Art Nouveaux;Styl;Sztuka
844;MORMON;Kosciół;Utah;Amisz;Religia;Wiara
845;AUTOPSJA;Sekcja Zwłok;Doswiadczenie;Znac;Badac;Na Własne Oczy
846;ONOMATOPEJA;Jezyk Polski;Figura Retoryczna;Dzwiekonasladownictwo;Srodek Stylistyczny;Poezja
847;MELIORACJA;Woda;Osuszanie;Rowy;Ulepszenie;Rolnictwo
848;SKARBONKA;Pieniadze;Oszczedzac;Zbierac;Wrzucac;Kieszonkowe
849;TELEDYSK;Muzyka;Film;Mtv;Wideoklip;Piosenka
850;GRAMOFON;Igła;Adapter;Muzyka;Płyta Winylowa;Odtwarzacz
851;KABURA;Pistolet;Bron;Pokrowiec;Futerał;Pas
852;GAŁKA MUSZKATOŁOWA;Przyprawa;Piernik;Smak;Korzenna;Zetrzec
853;BAMBUS;Ped;Roslina;Murzyn;Chinszczyzna;Kiełki
854;PEGASUS;Dzieci;Kon;Konsola Gier;Jednorożec;Super Mario Bros
855;WYRACHOWANY;Zysk;Egoizm;Interes;Spryt;Korzysc
856;SEX;Płec;Stosunek;Kamasutra;Pozycje;Sypialnia
857;JARZMO;Niewola;Uprzaż;Chomato;Orka;Bydło
858;ZORRO;Antonio Banderas;Garsyja;Maska;Czarny;Szpada
859;KSERO;Kopiowanie;Biuro;Dokumenty;Maszyna;Toner
860;WIELKI MUR CHINSKI;Pekin;Cud Swiata;Cegła;Budowla;Kosmos
861;ZIEMIANKA;Partyzanci;Wykopac;Piwnica;Schronienie;Przechowywac
862;SCIEŻKA ZDROWIA;Sport;Las;Rekreacja;Park;Cwiczenia
863;KLEJ;Łaczyc;Wachac;Kropelka;Lepki;Papier
864;KATAKUMBY;Podziemny;Chrzescijanstwo;Starożytny Rzym;Cmentarz;Korytarze
865;UDAR;Mózg;Upał;Wiertarka;Apopleksja;Słonce
866;WYDMUSZKA;Puste;Swieta Wielkanocne;Jajko;Dmuchac;Pisanka
867;KONWÓJ;Wiezniowie;Eskorta;Chronic;Grupa Osób;Pieniadze
868;ARCHIDIECEZJA;Podział;Biskup;Parafia;Prowincja;Kosciół
869;RÓWNIK;40 000 Kilometrów;Południk;Równoleżnik;Kula Ziemska;Szerokosc Geograficzna
870;BRONA;Pole;Narzedzie;Orac;Ciagnik;Rolnik
871;IPOD;Odtwarzac;Słuchawki;Mp3;Apple;Urzadzenie Przenosne
872;PALMA;Odbijac;Drzewo;Daktyl;Margaryna;Kokos
873;KORONKA;Ozdoba;Bielizna;Król;Zeby;Materiał
874;SKROBIA;Cukier;Ziemniak;Weglowodan;Roslina;Składnik
875;PRZYZWOITKA;Spotkanie Towarzyskie;Trzecia Osoba;Dama Do Towarzystwa;Pilnowac;Panna
876;LAWINA;Kula;Snieg;Góry;Tragedia;Zima
877;JEDWABNIK;Morwa;Tkanina;Kokon;Nici;Chiny
878;IMPERTYNENCJA;Bezczelnosc;Zachowanie;Arogancja;Zniewaga;Obrazliwe
879;RH+;żyła;Grupa;Typ;Konflikt Serologiczny;Krew
880;PRZESŁONA;Obiektyw;Fotografia;Aparat;Blenda;Głebia
881;SZTANGA;Podnosic;Sport;Hantle;Siłacz;Gryf
882;AUTOALARM;Złodziej;Kradzież;Szyba;Samochód;Dzwiek
883;STRZYKAWKA;Szczepionka;Tłok;Zastrzyk;Lekarz;Narkoman
884;ZOO;Lew;Klatki;Małpa;Zwierzeta;Dworzec
885;MAJTEK;Statek;Marynarz;Morze;Pomywacz;Załoga
886;SOBOWTÓR;Osoba;Klon;Podobny;Taki Sam;Blizniak
887;ZAPROSZENIE;Urodziny;Potwierdzenie;Slub;Kartka;Wysyłanie
888;DŻUMA;Czarna Smierc;Albert Camus;Epidemia;Choroba;Breslau
889;METKA;Ubranie;Zakupy;Nowy;Ciuchy;Rozmiar
890;ETUI;Przechowywac;Pióro;Pojemnik;Opakowanie;Okulary
891;TAMBURYN;Dzwoneczki;Membrana;Instrument;Cyganie;Beben
892;WŁÓCZYKIJ;Ryjek;Bajka;Kapelusz;Muminki;Tove Jansson
893;GEST;Dłon;Pokazywac;Reka;Kozakiewicza;Ruch
894;MANDOLINA;Grac;Gitara;Banjo;Struny;Instrument
895;SWIETO DZIEKCZYNIENIA;Stany Zjednoczone;Ameryka;Uroczystosc;Indyk;Listopad
896;INICJAŁ;Imie I Nazwisko;Litera;Ozdobny;Skrót;Poczatek
897;PUSTOSTAN;Lokum;Opuszczony;Mieszkanie;Wolny;Lokator
898;ZAWRÓT GŁOWY;Mdłosci;Wysokosc;Uczucie;Błednik;Krecic
899;PSZENICA;Pieczywo;Zboże;żyto;Plony;Maka
900;KUZYN;Dziecko;Wujek;Rodzina;Ciocia;Krewny
901;ZAŻALENIE;Składac;Reklamacja;Ksiażka;Decyzja;Skarga
902;ATUT;Karta;Przebijac;Przewaga;Zaleta;Brydż
903;WOLONTARIUSZ;Zbierac;Bezpłatnie;Pomagac;Ochotnik;Charytatywnie
904;FILMWEB;Kino;Internet;Aktor;Imdb;Portal
905;RUPIA;Waluta;Azja;Moneta;Indie;Pieniadz
906;KOCIOŁ;Baba Jaga;Instrument;Garnek;Naczynie;Para
907;TERMINATOR;Sara Connor;Arnold Schwarzenegger;Mistrz;Elektroniczny Morderca;Czeladnik
908;LAIK;Wiedza;Dyletant;Informacja;Ignorant;Amator
909;OBÓZ;Harcerski;Namiot;Pracy;Koncentracyjny;Wakacje
910;SEMINARIUM DUCHOWNE;Szkoła;Kosciół;Ksiadz;Uczelnia;Kleryk
911;AWIONETKA;Mały;Pilot;Latac;Lekki;Samolot
912;KILIMANDŻARO;Sniegi;Najwyższy;Hemingway;Góra;Afryka
913;ŁYSY;Wypadac;Głowa;Fryzura;Włosy;Peruka
914;WETERAN;Szosa;żołnierz;Walczyc;Wojenny;Stary
915;SPOTKANIE RODZINNE;Okazja;Sytuacja;Imieniny;Rodzina;Obiad
916;KAPTUR;Mnich;Nakrycie Głowy;Bluza;Kurtka;Deszcz
917;PARASOL;Opady;Deszcz;Pogoda;Ochrona;Słonce
918;ZBIÓR;Matematyka;Liczby;żniwa;Elementy;Pusty
919;GROBLA;Wał;Droga;Rzeka;Staw;Wylewac
920;BRELOK;Ozdoba;Kółko;Wisiorek;Przywieszka;Klucze
921;STORCZYK;Kwiat;Tropikalny;Podlewac;Orchidea;Doniczka
922;ALBEDO;Ciało Niebieskie;Swiatło;Odbijac;Optyka;Powierzchnia
923;MECZYC;Trudzic;Marudzic;Siły;Dreczyc;Fatygowac
924;NIENAWISC;Niechec;Uczucie;Lubic;Miłosc;Kłótnia
925;KREATYWNOSC;Pomysł;Oryginalny;Tworzenie;Inteligencja;Nowatorstwo
926;OSKAR;Nagroda;Statuetka;Akademia Sztuki;Film;Hollywood
927;SPRZECZNOSC;Logika;Prawda;Niezgodnosc;Paradoks;Kłócic Sie
928;ALKOHOL;Procenty;Wódka;Drink;Upic Sie;Pic
929;ODKURZACZ;Kurz;Ssanie;Podłoga;Rura;Elektroluks
930;MAJONEZ;Sos;Olej;Sałatka;Kanapka;Jajka
931;SSANIE;Smoczek;Niemowlak;Piers;Usta;Samochód
932;ZAGADKA;Szarada;Sfinks;Pytanie;Zadanie;Odpowiedz
933;SŁOWNIK ORTOGRAFICZNY;Słowa;Jezyk Polski;Gramatyka;Błedy;Ksiażka
934;FLANELA;Koszula;Szmatka;Bawełna;Materiał;Tkanina
935;PELETON;Kolarz;Wyscig;Poscig;Rower;Grupa
936;KOMIWOJADŻER;Zamówienie;Jezdzic;Handlowac;Akwizytor;Sprzedawca
937;UFO;Latajacy Spodek;Niezidentyfikowany Obiekt;Statek Kosmiczny;Zielony;Kosmita
938;OSCYPEK;Zakopane;Ser;Owca;Mleko;Góry
939;BEZROBOCIE;Kryzys;Zasiłek;Zwalniac;Praca;Kuroniowka
940;PEPEK;Pas;Dziura;Kolczyk;Srodek;Brzuch
941;REGGAE;Bob Marley;Jamajka;Marihuana;Muzyka;Dredy
942;PRZESYŁKA;Poczta;Transport;Paczka;Dostarczac;Kurier
943;BIEGUN POŁUDNIOWY;Antarktyda;Lód;Roland Amundsen;Północny;Kula Ziemska
944;MENTOS;Mieta;Odswieżenie;Oddech;Cukierek;Drops
945;ZAWIESZENIE BRONI;Rozejm;Walka;Pokój;Wojna;Traktat
946;PEDIATRA;Dziecko;Szpital;Lekarz;Neonatolog;Doktor
947;SPITSBERGEN;Lodowiec;Morze Arktyczne;Norwegia;Wyspa;Północ
948;ŻÓŁTODZIÓB;Poczatkujacy;Ptak;Doswiadczony;Amator;Clint Eastwood
949;PRZEREBEL;Otwór;Lód;Rybak;Mróz;Wykuc
950;DŁUG;Pożyczka;Pieniadze;Winien;Oddac;Kredyt
951;ULOTKA;Informacja;Kartka;Produkt;Reklama;Roznosic
952;APELACJA;Odwołanie;Skazywac;Wyrok;Rozprawa;Sad
953;CENTRUM HANDLOWE;Miejsce;Budynek;Zakupy;Sklepy;Czas Wolny
954;FILOZOFIA;Nauka;Madrosc;Platon;Rozważania;Arystoteles
955;STUDNIA;Wiadro;Ujecie;Wies;żuraw;Woda
956;FIGA;Suszone;Bakalie;Z Makiem;Majtki;Owoc
957;TELEMAGAZYN;Gazeta;Godzina;Kiedy;Program;Filmy
958;STALAKTYT;Naciek;Jaskinia;Skała;Weglan Wapnia;Sopel
959;PRESTIDIGITATOR;Sztukmistrz;Cylinder;Iluzjonista;Cyrk;Czary
960;PROGNOZA POGODY;Wiadomosci;Aura;Meteo;Temperatura;Deszcz
961;GOLFSZTROM;Atlantyk;Ciepły;Ocean;Prad;Zatoka Meksykanska
962;TERMOPILE;Bitwa;Wojna Perska;Grecja;Sparta;3
963;ZAKONNICA;Habit;Kosciół;Kobieta;Ksiadz;Krzyż
964;EMBARGO;Panstwo;Towary;Zakazywac;Handel;Cło
965;JAN ROKITA;Polityk;Maria;Nelli;Poseł;Platforma Obywatelska
966;ZAKRETKA;Otwierac;Butelka;Gwint;Słoik;Kapsel
967;WIZYTÓWKA;Informacja;Dane Kontaktowe;Kartka;Osoba;Firma
968;LABORATORIUM;Chemia;Kitel;Eksperyment;Doswiadczenia;Badania
969;HUSTAWKA;Bujac Sie;Nastrój;Plac Zabaw;Dzieci;Bawic Sie
970;SZPILKI;Ostry;Obcas;Igła;Krawiec;Buty
971;SOLINA;Jezioro;Bieszczady;Tama;Zbiornik;San
972;ZIELARSTWO;Pokrzywa;Rosliny;Napar;Zbierac;Rumianek
973;TERMOFOR;Ciepło;Ogrzewac;Pojemnik;Gumowy;Woda
974;MAKOWIEC;Kwiat;Swieta;Ziarenka;Ciasto;Monte Cassino
975;IMPERIUM;Potega;Cesarstwo;Ryszard Kapuscinski;Mocarstwo;Rzym
976;FLAKI Z OLEJEM;Nuda;Tłusty;Ciagnac Sie;Potrawa;Powiedzenie
977;KOREKS;Wywoływac;Ciemnia;Klisza;Fotograf;Zdjecia
978;OPATULONY;Okryty;Owiniety;Kocyk;Zimno;Szalik
979;WIATROŁAP;Przedpokój;Przedsionek;Dom;Wichura;Korytarz
980;BODY;Kobieta;W Kroku;Ubranie;Zapinac;Dziecko
981;USG;Dzwieki;Badanie;Ciaża;Obraz;Diagnoza
982;MITOMAN;Fantazjowac;Ego;Prawda;Kłamstwo;Opowiadac
983;ZATRUDNIAC;Praca;Przyjmowac;Angażowac;Rozmowa;Posada
984;ZLEW;Naczynia;Kuchnia;Woda;Zmywac;Kran
985;ROZCZAROWANIE;Uczucie;Nadzieja;Przykrosc;Strata;Zawód
986;RTEC;Termometr;Pierwiastek;Metal;Płynny;Hg
987;POLE MINOWE;żołnierz;Wojna;Bomba;Wybuch;Saper
988;CHINSZCZYZNA;Słodko-kwasny;Azja;Jedzenie;Ryż;Warzywa
989;MSZA SWIETA;Suma;Ksiadz;Nabożenstwo;Modlic Sie;Kosciół
990;APOPLEKSJA;Padaczka;Choroba;Drgawki;Wylew;Krwotok
991;WZORNIK;Matryca;Forma;Przykład;Próbka;Kolory
992;FERDYNAND MAGELLAN;Wyprawa;Odkrywca;żeglarz;Ciesnina;Dookoła Swiata
993;GAZETA.PL;Informacje;Wyborcza;Internet;Portal;Aktualnosci
994;DAB;Kora;Drzewo;Starosc;Las;żołedzie
995;SOCJOPATA;Choroba Psychiczna;Osoba;Kontakt;Społeczenstwo;Nieprzystosowany
996;WINAMP;Mp3;Piosenka;Muzyka;Odtwarzanie;Komputer
997;TATARAK;Trawa;Woda;Staw;Łaka;Bagno
998;HEFAJSTOS;Kowal;Kuznia;Bóg;Mitologia;Ogien
999;KLAMERKA;Pasek;Ubrania;Buty;Zapinac;Sznurek
1000;SŁONA WODA;Smak;Morze;Ocean;Ciecz;H 2 O
1001;ŁUSKA;Ryba;Pocisk;Amunicja;Szczescie;Naskórek
1002;KONTAKT;Gniazdko;Pstryczek;Wtyczka;Napiecie;Prad
1003;WYKAŁACZKA;Dłubac;Zeby;Patyczek;Jedzenie;Igła
1004;BAWIDAMEK;Flirciarz;Kobieta;Przyjecie;Meżczyzna;Podrywacz
1005;FUNDAMENT;Podmurówka;Podstawa;Dom;Pustaki;Piwnica
1006;OBCOKRAJOWIEC;Rasizm;Emigrant;Murzyn;Narodowosc;Granica
1007;KORYTO;Rzeka;Jedzenie;Nurt;Obora;Swinie
1008;CZCIONKA;Litera;Znak;Gutenberg;Font;Druk
1009;ELEGANCJA;Dobry Gust;Gracja;Szyk;Wytworny;Ubranie
1010;STATYSTYKA;Czynnik Losowy;Badanie;Teoria Prawdopodobienstwa;Dane;Matematyka
1011;PTASIE MLECZKO;Wedel;Czekolada;Alpejskie;Słodycze;Krowa
1012;ŁADOWARKA;Komórka;Zasilanie;Laptop;Prad;Telefon
1013;KONIAK;Trunek;Destylat;Brandy;Napoleon;Alkohol
1014;PESEL;Ewidencja;Data Urodzenia;Identyfikacyjny;Numer;Dowód Osobisty
1015;DROGÓWKA;Mandat;Kontrola;Policja;Radar;Przekroczenie Predkosci
1016;UL;Owad;Miód;Pszczoły;Pasieka;Bartnik
1017;PROMIENIOWANIE;Radioaktywne;Roentgen;Skażenie;Uv;Bomba Atomowa
1018;SZLOCHAC;Smutny;Płakac;Łzy;Łkac;Rozpaczac
1019;CHOROBA WENERYCZNA;Syfilis;Droga Płciowa;Rzeżaczka;Przenosic;Kiła
1020;PLAŻA NUDYSTÓW;Ubranie;Goły;Morze;Nagosc;Chałupy
1021;POLIGAMIA;żona;Wielożenstwo;Monogamia;Harem;Bigamia
1022;ZAMIATAC;Pod Dywan;Podwórko;Porzadek;Szczotka;Sprzatac
1023;KROMKA;Kanapka;Chleb;Pajda;Smarowac;Kroic
1024;SYFON;Babelki;Napój;Gaz;Cisnienie;Woda
1025;WEGETARIANIN;Dieta;Zwierzeta;Mieso;Warzywa;Jesc
1026;JUDAIZM;żydzi;Naród Wybrany;Religia;Gwiazda Dawida;Izrael
1027;SZNURÓWKA;Stopa;Noga;But;Wiazac;Linka
1028;KOMBAJN;Maszyna;Pole;Rolnik;Wies;żniwa
1029;PROGRAM ANTYWIRUSOWY;Komputer;Skanowac;Bezpieczenstwo;Norton;Trojan
1030;DRACULA;Wampir;Krew;Hrabia;Transylwania;Siedmiogród
1031;ZAMEK BŁYSKAWICZNY;Spodnie;Guzik;Suwak;Zapinac;Rozporek
1032;LEGIA CUDZOZIEMSKA;Jednostka;Francja;Wojsko;żołnierz;Armia
1033;BOLEK I LOLEK;Dobranocka;Tola;Bajka;Chłopcy;Bracia
1034;DZIÓB;Ptak;Rufa;Jesc;Łódz;Usta
1035;STYGMATY;Znaki;Krew;Jezus Chrystus;Rana;Symbol
1036;ESTRADA;Gwiazda;Wystep;Scena;Piosenkarz;Festiwal
1037;WIEŻA EIFFLA;Paryż;Francja;Wysoki;Symbol;Metal
1038;SZMARAGD;Pierscionek;Kamien Szlachetny;Krokodyl;Zielony;Biżuteria
1039;JOLKA;Perfect;Tytuł;Budka Suflera;Imie;Krzyżówka
1040;PRZYNAJMNIEJ;Choc;Minimum;Wystarczajaco;Bynajmniej;Ilosc
1041;GARB;Quasimodo;Krzywy;Plecy;Kregosłup;Wielbład
1042;DREZYNA;Tory;Reczny;Szyny;Pojazd;Kolej
1043;WIÓRKI KOKOSOWE;Orzech;Bounty;Jedzenie;Białe;Owoc Tropikalny
1044;STYROPIAN;Ocieplenie;Chronic;Tworzywo Sztuczne;Kuleczki;Opakowanie
1045;HIMALAJE;Tybet;Najwyższe;Mount Everest;Azja;Góry
1046;WASAL;Sredniowiecze;Majatek;Senior;Lennik;Feudalny
1047;PODPASKA;Okres;Kobieta;Krwawienie;Miesiaczka;Menstruacja
1048;MODELKA;Rewia Mody;Wybieg;Anoreksja;Mediolan;Pokaz
1049;ANTYRAMA;Obraz;Oprawiac;Zdjecie;Szkło;Plexi
1050;RÓŻA;Płatki;Prezent;Imie;Kwiat;Kolce
1051;BENELUX;Belgia;Unia Europejska;Luksemburg;Panstwo;Holandia
1052;PWN;Encyklopedia;Słownik;Wiedza;Wydawnictwo Naukowe;Skrót
